severity,scope,variable,issue,issue_zh,evidence,evidence_zh,action,action_zh
RESOLVED,"Switzerland, Portugal, Sweden",irregular_proxy_detections,"In migration_population_panel_40countries_2010-2022.xlsx the Eurostat detections series for these three countries was offset by one year: the value published for year Y+1 was recorded under year Y, and the genuine 2010 figures were missing.",於 migration_population_panel_40countries_2010-2022.xlsx 中，這三國的 Eurostat 查獲人次序列整體位移一年：Y+1 年公布之數值被記錄於 Y 年，且真正的 2010 年數值付之闕如。,"Live Eurostat migr_eipre re-query, 2026-08-17. E.g. Sweden: workbook 2013 = 72,835 but Eurostat 2013 = 24,400 and 2014 = 72,835. The other workbook, immigration_country_year_2010_2022.xlsx, has these three countries correct.","2026-08-17 重新查詢 Eurostat migr_eipre。例如瑞典：工作表 2013 年為 72,835，但 Eurostat 2013 年為 24,400、2014 年為 72,835。另一份工作表 immigration_country_year_2010_2022.xlsx 則記載正確。",Corrected: all 39 values replaced with the year-aligned Eurostat figures.,已更正：39 筆數值全部替換為年度對齊之 Eurostat 數值。
RESOLVED,Sweden,documentation,"The input codebook states the Swedish break in detections is ""2013: 72,835 -> 2014: 1,445"". That is a consequence of the one-year offset above.","原始變項說明書指出瑞典查獲人次序列的斷點為「2013 年：72,835 → 2014 年：1,445」，此係上述位移一年所導致的假象。","Eurostat migr_eipre: 2013 = 24,400; 2014 = 72,835; 2015 = 1,445.","Eurostat migr_eipre：2013 年 = 24,400；2014 年 = 72,835；2015 年 = 1,445。","Corrected: the break falls between 2014 and 2015, not 2013 and 2014.",已更正：斷點實際落在 2014 至 2015 年之間，而非 2013 至 2014 年。
RESOLVED,Taiwan,irregular_proxy_overstayers,"A single column mixed two incompatible measures: Ministry of Labor absconded migrant workers (失聯移工, a subset) for 2011-2013 and 2019-2022, and National Immigration Agency overstayers (逾期停留/居留) for 2014-2018. Read as a time series this creates a false +65% jump in 2014 and a false -47% fall in 2019.",單一欄位混用兩種不相容的統計：2011–2013 與 2019–2022 年為勞動部「失聯移工」（屬部分集合），2014–2018 年為內政部移民署「逾期停留／居留」。若當作時間序列解讀，會在 2014 年產生虛假的 +65% 躍升，2019 年產生虛假的 −47% 下降。,Source notes in the input workbook itself; and the NIA series is carried consistently for 2012-2021 in immigration_country_year_2010_2022.xlsx.,原始工作表本身的來源註記；且 immigration_country_year_2010_2022.xlsx 於 2012–2021 年一致採用移民署序列。,"Corrected: the column now holds only the NIA overstayer measure (2012-2021); the MOL figures were moved to a separate column, irregular_proxy_absconded_workers.",已更正：本欄位現僅保留移民署逾期停留／居留數（2012–2021）；勞動部數值已移至獨立欄位 irregular_proxy_absconded_workers。
RESOLVED,Italy,irregular_stock,"2010-2013 were missing although ISMU publishes them, and 2014 used a Pew estimate while every other year used ISMU, mixing two methods inside one series.",2010–2013 年缺漏（儘管 ISMU 有公布），且 2014 年採用 Pew 推估值而其餘年度採用 ISMU，導致單一序列混用兩種推估方法。,"Fondazione ISMU, ""Stime stranieri irregolari 1991-2021"" (agg. maggio 2022), downloaded to countries/ITA_Italy/sources/.",Fondazione ISMU，《Stime stranieri irregolari 1991-2021》（2022 年 5 月更新），已下載至 countries/ITA_Italy/sources/。,Corrected: Italy now carries one consistent ISMU series for 2010-2021. The Pew estimates remain available in the Irregular_estimates_all sheet.,已更正：義大利現為 2010–2021 年一致之 ISMU 序列。Pew 推估值仍保留於 Irregular_estimates_all 工作表。
HIGH,all,irregular_stock / overstayers / detections,"No internationally comparable measure of the irregular population exists. irregular_stock covers 13/40 countries, overstayers 5/40, detections 25/40, and the three are not additive or interchangeable.",目前不存在可跨國比較的無證移民人口統計。irregular_stock 僅涵蓋 13／40 國、逾期停留 5／40 國、查獲人次 25／40 國，且三者不可相加亦不可互換。,Coverage sheet; verification/audit_issues.csv.,Coverage 工作表；verification/audit_issues.csv。,Use as an ordinal salience signal at most. For a cross-national regressor prefer foreign_nationals_pct_pop.,至多僅能作為順序尺度的「議題顯著性」指標。若需跨國迴歸自變項，建議改用 foreign_nationals_pct_pop。
MEDIUM,"Israel, Bulgaria, France, Turkey, USA, Poland, China, Netherlands",population,"The two input workbooks disagree on population because one uses UN WPP 2024 and the other World Bank WDI. Israel differs by -4.1%, Bulgaria +3.2%, France -2.5%.",兩份原始工作表的人口數不一致，因其一採用 UN WPP 2024、另一採用世界銀行 WDI。以色列差異 −4.1%、保加利亞 +3.2%、法國 −2.5%。,427 of 520 country-years differ; 26 by more than 3%.,520 個國家—年度中有 427 個不一致；其中 26 個差異超過 3%。,Both series are retained side by side (population = World Bank; population_un_wpp2024 = UN WPP) with the gap in population_wb_vs_unwpp_pct. Pick one and keep it for every country.,兩組序列並列保留（population = 世界銀行；population_un_wpp2024 = UN WPP），差距列於 population_wb_vs_unwpp_pct。請擇一使用並貫徹於所有國家。
MEDIUM,"Turkey, Czechia, Slovakia, Portugal, Germany",foreign_born,"UN DESA migrant stock and the OECD/Eurostat foreign-born series diverge sharply (Turkey +144%, Czechia +55%, Slovakia +42%, Portugal -18%).",UN DESA 移民存量與 OECD／Eurostat 外國出生人口序列差異極大（土耳其 +144%、捷克 +55%、斯洛伐克 +42%、葡萄牙 −18%）。,Cross-file comparison on the 110 overlapping country-years.,就 110 個重疊之國家—年度進行跨檔比對。,"Do not mix the two. Turkey in particular: UN DESA includes Syrians under temporary protection, the OECD series does not.",兩者不可混用。土耳其尤為明顯：UN DESA 涵蓋受臨時保護之敘利亞人，OECD 序列則否。
RESOLVED,Korea,irregular_proxy_overstayers,"The 2010-2015 values rested on a single secondary source (a Korean National Police University publication) whose host no longer responds, so they could not be checked against anything.",2010–2015 年數值原僅依據單一次級來源（韓國警察大學出版品），該網站已無回應，因此當時無法與任何來源核對。,The official series was located instead: MOJ Immigration Statistical Yearbook 2015 Table 6-1 (2010-2015 year-end) and the MOJ open-data series 2011-2025. Both are archived in evidence/countries/KOR/.,其後尋得官方序列：法務部《2015 年度出入國・外國人政策統計年報》表 6-1（2010–2015 年底數），以及法務部公開資料之歷年非法滯留外國人序列。,"Resolved: 2010-2014 matched the official figures exactly and were re-sourced; 2015 was corrected from 212,596 (a 31 August snapshot) to 214,168 (year-end). Grades raised from D to A (2011-2015) and B (2010). No grade-D values remain in the panel.","已解決：2010–2014 年與官方數值完全一致並改註官方來源；2015 年自 212,596（8 月 31 日快照）更正為 214,168（年底數）。等級自 D 提升為 A（2011–2015）與 B（2010）。本 panel 已無 D 級數值。"
MEDIUM,Switzerland,irregular_stock,LINK ROT: the cited SEM PDF (ber-sanspapiers-2015-d.pdf) now returns 404.,連結失效：所引用之 SEM PDF（ber-sanspapiers-2015-d.pdf）現回傳 404。,Checked 2026-08-17 with several URL patterns.,2026-08-17 以多種網址型式檢查。,"The register now cites the source the value is verified against: the SRF report on the SEM study's release of 25 April 2016, which states 76,000. The moved SEM PDF is kept in the superseded_source_url column. The study's own range was 58,000-105,000.","來源清冊現改列該數值實際據以查證之來源：SRF 對 2016 年 4 月 25 日 SEM 研究發布之報導，其中明載 76,000。已移轉網址之 SEM PDF 保留於 superseded_source_url 欄位。該研究本身給出的區間為 58,000–105,000。"
MEDIUM,Italy,sources,"ismu.org serves an HTTP 403 bot wall to browser-shaped requests, so the cited press releases could not be captured as live page renders.",ismu.org 對瀏覽器型式的請求回傳 HTTP 403 機器人阻擋頁，因此所引用之新聞稿無法以即時網頁繪製方式擷取。,"Checked 2026-08-17 from two clients and re-checked 2026-08-18: a direct request returns the full page (HTTP 200), a headless browser returns 403 ""Access Blocked"".",2026-08-17 自兩種用戶端檢查，並於 2026-08-18 重新檢查：直接請求可取得完整頁面（HTTP 200），無頭瀏覽器則回傳 403「Access Blocked」。,"Cited to ISMU's own machine-readable series, which reproduces every Italian value for 2010-2021 exactly. That series ends at 2021, so 2022 (506,000) is cited to the XXVIII Rapporto ISMU 2022, which states it against 519,000 for the year before. On 2026-08-18 both originally cited press releases were retrieved and do state the same figures - 562mila for 2019, and 519mila against 517mila for 2021 and 2020 - so they are archived here as corroboration, with their visual rendered from the archived copy because the live page cannot be rendered.","改引 ISMU 自行發布之機器可讀序列，該序列完全重現 2010–2021 年每一筆義大利數值。該序列止於 2021 年，故 2022 年（506,000）改引第 XXVIII 號 ISMU 移民報告，其中載明該數字並與前一年之 519,000 對照。2026-08-18 已成功取得原引用之兩份新聞稿，其內容確載相同數字——2019 年為 562mila，2021 與 2020 年為 519mila 對 517mila——故一併存檔作為佐證；因即時頁面無法繪製，其視覺檔改由存檔副本產生。"
